species_code,scientific_name,body_mass_g,beak_length_culmen,beak_length_nares,beak_width,wing_length,trophic_niche
vesowl,Megascops guatemalae,118,23.8,12.6,6.5,157,Invertivore
whsowl1,Megascops trichopsis,88.3,19.7,9.8,5.1,148.8,Invertivore
speowl1,Pulsatrix perspicillata,983.6,47.9,25.2,12.6,339.3,Vertivore
fulowl1,Strix fulvescens,711.5,36.2,19.8,11.2,304.2,Vertivore
webowl1,Tyto alba,403.3,32,17.7,8.5,280.2,Vertivore
slbtin1,Crypturellus boucardi,435.6,28.9,10.9,5.2,165,Omnivore
thitin1,Crypturellus cinnamomeus,422,26.6,10.7,5.3,156.7,Omnivore
littin1,Crypturellus soui,216.2,24.2,8,4.2,127.5,Omnivore
gretin1,Tinamus major,1026.2,38.5,11.4,5.2,241,Omnivore
anhing,Anhinga anhinga,1235,85.6,78.8,11.1,339.6,Aquatic predator
magfri,Fregata magnificens,1490.5,121.9,95.9,25.8,642,Aquatic predator
masboo,Sula dactylatra,1732.1,96,96,26.2,412.2,Aquatic predator
nazboo1,Sula granti,1732.1,102,91.6,24.9,416.8,Aquatic predator
brnboo,Sula leucogaster,1288.8,100.9,86.9,20.5,388.6,Aquatic predator
refboo,Sula sula,1031.1,79.3,79,21.5,366.8,Aquatic predator
resque1,Pharomachrus mocinno,202.5,26.2,12.6,9.2,202,Frugivore
cittro1,Trogon citreolus,79,20.6,12.4,8.2,136.4,Omnivore
coltro1,Trogon collaris,65.4,20.3,11.2,8.2,121.2,Invertivore
eletro2,Trogon elegans,70.9,19.7,12.6,9.1,131,Omnivore
slttro1,Trogon massena,141,28.1,17.4,13.2,174,Frugivore
blhtro1,Trogon melanocephalus,85.1,21,13.8,8.8,142.7,Omnivore
moutro1,Trogon mexicanus,71,20,11.4,9.8,147.6,Invertivore
viotro2,Trogon violaceus,46.5,19,11.5,9.2,117.1,Frugivore
